name;article;product_code;availability;image
ДС.ПВТ.М27Х1,5 - Датчик уровня кондуктометрический тест;ДС.ПВТ.М27Х1,5;131540;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ДТС125М-РТ100.0,25.100.И15 - Термопреобразователь сопротивления;ДТС125М-РТ100.0,25.100.И15;;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ДТС105М-50М.0,5.60.И2 - Термопреобразователь сопротивления;ДТС105М-50М.0,5.60.И2;;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ДТС045-РТ100.В3.200.ЕХ-Т2 - Датчик температуры;ДТС045-РТ100.В3.200.ЕХ-Т2;;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ДТС045-РТ100.В3.800.ЕХ-Т2 - Датчик температуры;ДТС045-РТ100.В3.800.ЕХ-Т2;;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ДТС064-РТ100.В3.200/5.ЕХI-Т2 - Термопреобразователь сопротивления;ДТС064-РТ100.В3.200/5.ЕХI-Т2;81219;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ДТС065-РТ100.В3.100.G1/2 - Термопреобразователь сопротивления;ДТС065-РТ100.В3.100.G1/2;31323;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ПДУ-3.2.800.100-ЕХ - Датчик уровня поплавковый;ПДУ-3.2.800.100-ЕХ;80732;Под заказ;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ПДУ-3.2.800.100/1 - Датчик уровня поплавковый;ПДУ-3.2.800.100/1;119622;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ПДУ-3.2.800.100.К/6-ЕХ - Датчик уровня поплавковый;ПДУ-3.2.800.100.К/6-ЕХ;86386;Под заказ;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
ПДУ-3.2.800.100.К/1 - Датчик уровня поплавковый;ПДУ-3.2.800.100.К/1;118461;В наличии;https://intelka-shop.ru/proizvoditeli/oven/?section=16#
