name;article;product_code;availability;image
PS-FL3-PDB2 Фотодатчик рефлекторный, S=1 м, PNP, Dark-ON, 2 м;PS-FL3-PDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FL3-NLB2 Фотодатчик рефлекторный, S=1 м, NPN, Light-ON, 2 м;PS-FL3-NLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FL3-NDB2 Фотодатчик рефлекторный, S=1 м, NPN, Dark-ON, 2 м;PS-FL3-NDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FB1-PLB2 Фотодатчик с подавлением заднего фона, S=5-30 мм, PNP, Light-ON, 2 м;PS-FB1-PLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FB1-PDB2 Фотодатчик с подавлением заднего фона, S=5-30 мм, PNP, Dark-ON, 2 м;PS-FB1-PDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FB1-NLB2 Фотодатчик с подавлением заднего фона, S=5-30 мм, NPN, Light-ON, 2 м;PS-FB1-NLB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-FB1-NDB2 Фотодатчик с подавлением заднего фона, S=5-30 мм, NPN, Dark-ON, 2 м;PS-FB1-NDB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RT9-PS12 - Фотодатчик барьерный, S=12 м;PS-RT9-PS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RT9-NS12 - Фотодатчик барьерный, S=12 м;PS-RT9-NS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RS1-PS12 - Фотодатчик с узким лучом, S=100 мм;PS-RS1-PS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RS1-NS12 - Фотодатчик с узким лучом, S=100 мм;PS-RS1-NS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RR3-PS12 - Фотодатчик диффузный, S=300 мм;PS-RR3-PS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RR3-NS12 - Фотодатчик диффузный, S=300 мм;PS-RR3-NS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RL4-PS12 - Фотодатчик рефлекторный, S=4,2 м;PS-RL4-PS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
PS-RL4-NS12 - Фотодатчик рефлекторный, S=4,2 м;PS-RL4-NS12;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-N1812-BPOB2 - Индуктивный датчик М18, 12 мм, PNP NO, выступающий;IS-N1812-BPOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-N1812-BPCB2 - Индуктивный датчик М18, 12 мм, PNP NC, выступающий;IS-N1812-BPCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-N1812-BNOB2 - Индуктивный датчик М18, 12 мм, NPN NO, выступающий;IS-N1812-BNOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-N1812-BNCB2 - Индуктивный датчик М18, 12 мм, NPN NC, выступающий;IS-N1812-BNCB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
IS-N1808-BPOB2 - Индуктивный датчик М18, 8 мм, PNP NO, выступающий;IS-N1808-BPOB2;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=16#
