name;article;product_code;availability;image
STV900U75N4H-IP55 Частотный преобразователь-STV900H 7.5 кВт 400В IP55. Кран/Подъемник;STV900U75N4H-IP55;STV900U75N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900U55N4H-IP55-Частотный преобразователь STV900H 5.5 кВт 400В IP55. Кран/Подъемник;STV900U55N4H-IP55;STV900U55N4H-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900U40N4H-IP55 Частотный преобразователь STV900H 4.0 кВт 400В IP55. Кран/Подъемник;STV900U40N4H-IP55;STV900U40N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D90N4H-IP55 Частотный преобразователь STV900H 90 кВт 400В IP55. Кран/Подъемник;STV900D90N4H-IP55;STV900D90N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D75N4H-IP55 Частотный преобразователь STV900H 75 кВт 400В IP55. Кран/Подъемник;STV900D75N4H-IP55;STV900D75N4H-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D55N4H-IP55 Частотный преобразователь STV900H 55 кВт 400В IP55. Кран/Подъемник;STV900D55N4H-IP55;STV900D55N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D45N4H-IP55 Частотный преобразователь STV900H 45 кВт 400В IP55. Кран/Подъемник;STV900D45N4H-IP55;STV900D45N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D37N4H-IP55 Частотный преобразователь STV900H 37 кВт 400В IP55. Кран/Подъемник;STV900D37N4H-IP55;STV900D37N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D30N4H-IP55 Частотный преобразователь STV900H 30 кВт 400В IP55. Кран/Подъемник;STV900D30N4H-IP55;STV900D30N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D22N4H-IP55 Частотный преобразователь STV900H 22 кВт 400В IP55. Кран/Подъемник;STV900D22N4H-IP55;STV900D22N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D18N4H-IP55 Частотный преобразователь STV900H 18.5 кВт 400В IP55. Кран/Подъемник;STV900D18N4H-IP55;STV900D18N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D15N4H-IP55 Частотный преобразователь STV900H 15 кВт 400В IP55. Кран/Подъемник;STV900D15N4H-IP55;STV900D15N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900D11N4H-IP55 Частотный преобразователь STV900H 11 кВт 400В IP55. Кран/Подъемник;STV900D11N4H-IP55;STV900D11N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV900C11N4H-IP55 Частотный преобразователь STV900H 110 кВт 400В IP55. Кран/Подъемник;STV900C11N4H-IP55;STV900C11N4H-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U75N4-IP55 Частотный преобразователь STV050 7,5 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050U75N4-IP55;STV050U75N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U55N4-IP55 Частотный преобразователь STV050 5,5 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050U55N4-IP55;STV050U55N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U40N4-IP55 Частотный преобразователь STV050 4 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050U40N4-IP55;STV050U40N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U22N4-IP55 Частотный преобразователь STV050 2,2 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050U22N4-IP55;STV050U22N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U15N4-IP55 Частотный преобразователь STV050 1,5 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050U15N4-IP55;STV050U15N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U07N4-IP55 Частотный преобразователь STV050 0,75 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050U07N4-IP55;STV050U07N4-IP55;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D30N4-IP55 Частотный преобразователь STV050 30 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050D30N4-IP55;STV050D30N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D22N4-IP55 Частотный преобразователь STV050 22 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050D22N4-IP55;STV050D22N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D18N4-IP55 Частотный преобразователь STV050 18,5 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050D18N4-IP55;STV050D18N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D15N4-IP55 Частотный преобразователь STV050 15 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050D15N4-IP55;STV050D15N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D11N4-IP55 Частотный преобразователь STV050 11 кВт 380В ЭМС С3 + LED панель оператора + IP55;STV050D11N4-IP55;STV050D11N4-IP55;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U75N4-SVPM -Частотный преобразователь STV050 7,5 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050U75N4-SVPM;STV050U75N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U55N4-SVPM -Частотный преобразователь STV050 5,5 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050U55N4-SVPM;STV050U55N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U40N4-SVPM -Частотный преобразователь STV050 4 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050U40N4-SVPM;STV050U40N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U30N4-SVPM - Частотный преобразователь STV050 3 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050U30N4-SVPM;STV050U30N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U22N4-SVPM -Частотный преобразователь STV050 2,2 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050U22N4-SVPM;STV050U22N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U15N4-SVPM -Частотный преобразователь STV050 1,5 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050U15N4-SVPM;STV050U15N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050U07N4-SVPM-Частотный преобразователь STV050 0,75 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050U07N4-SVPM;STV050U07N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D22N4-SVPM Частотный преобразователь STV050 22 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050D22N4-SVPM;STV050D22N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D18N4-SVPM Частотный преобразователь STV050 18,5 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050D18N4-SVPM;STV050D18N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D15N4-SVPM Частотный преобразователь STV050 15 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050D15N4-SVPM;STV050D15N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
STV050D11N4-SVPM Частотный преобразователь STV050 11 кВт 380В ЭМС С3 + LED панель оператора + SVPM;STV050D11N4-SVPM;STV050D11N4-SVPM;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM465413 - Температурный модуль ввода, 4 входа TC тип K;SM465413;SM465413;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM475426 - Температурный модуль ввода, 4 входа RTD PT1000;SM475426;SM475426;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM505405 - Аналоговый модуль вывода, 4 выхода 0-10В 16bit;SM505405;SM505405;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM541818 - Аналоговый модуль вывода, 8 выходов 0-20мА 12bit;SM541818;SM541818;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM545411 - Аналоговый модуль вывода, 4 выхода 4-20мА 16bit;SM545411;SM545411;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM541410 - Аналоговый модуль вывода, 4 выхода 0-20мА 12bit;SM541410;SM541410;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM541409 - Аналоговый модуль вывода, 4 выхода 4-20мА 12bit;SM541409;SM541409;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM445412 - Аналоговый модуль ввода, 4 входа 0-20 мА 16bit;SM445412;SM445412;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM441410 - Аналоговый модуль ввода, 4 входа 0-20 мА 12bit;SM441410;SM441410;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM401401 - Аналоговый модуль ввода, 4 входа 0-10В 12bit;SM401401;SM401401;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM602103 - Высокочастотный модуль ввода, дифференциальный энкодер;SM602103;SM602103;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM475428 - Температурный модуль ввода, 4 входа RTD сопротивление;SM475428;SM475428;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM511815 - Аналоговый модуль вывода, 8 каналов ±10В 12bit;SM511815;SM511815;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM541817 - Аналоговый модуль вывода, 8 выходов 4-20мА 12bit;SM541817;SM541817;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM441833 - Аналоговый модуль ввода, 8 входов 4-20мА 12bit;SM441833;SM441833;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM405405 - Аналоговый модуль ввода, 4 входа 0-10В 16bit;SM405405;SM405405;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM441409 - Аналоговый модуль ввода, 4 входа 4-20 мА 12bit;SM441409;SM441409;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM632114 - Коммуникационный модуль Modbus RTU Master;SM632114;SM632114;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM600101 - Высокочастотный модуль ввода, NPN энкодер;SM600101;SM600101;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM465414 - Температурный модуль ввода, 4 входа TC тип J;SM465414;SM465414;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM475423 - Температурный модуль ввода, 4 входа RTD PT100;SM475423;SM475423;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM501813 - Аналоговый модуль вывода, 8 выходов 0-10В 12bit;SM501813;SM501813;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM415407 - Аналоговый модуль ввода, 4 входа ±10В 16bit;SM415407;SM415407;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM010001 - Модуль питания для распределенного ввода/вывода;SM010001;SM010001;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM601102 - Высокочастотный модуль ввода, PNP энкодер;SM601102;SM601102;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM110204 - Коммуникационный модуль I/O EtherCAT;SM110204;SM110204;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM102002 - Коммуникационный модуль I/O Profibus DP;SM102002;SM102002;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM465417 - Температурный модуль ввода, 4 входа TC тип N;SM465417;SM465417;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM465418 - Температурный модуль ввода, 4 входа TC тип S;SM465418;SM465418;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SMTER0100 - Терминальный модуль;SMTER0100;SMTER0100;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM515407 - Аналоговый модуль вывода, 4 выхода ±10D 16bit;SM515407;SM515407;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM511403 - Аналоговый модуль вывода, 4 выхода ±10В 12bit;SM511403;SM511403;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM545412 - Аналоговый модуль вывода, 4 выхода 0-20мА 16bit;SM545412;SM545412;Под заказ;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM501401 - Аналоговый модуль вывода, 4 выхода 0-10В 12bit;SM501401;SM501401;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
SM441834 - Аналоговый модуль ввода, 8 входов 0-20мА 12bit;SM441834;SM441834;В наличии;https://intelka-shop.ru/proizvoditeli/systeme-electric/?section=19#
