name;article;product_code;availability;image
DRF-24V480W3GBA, Блок питания, вход 3x320~575B AC, выход 24B DC, 20A, 480Вт, реле DC OK, старт от -4;DRF-24V480W3GBA;DRF-24V480W3GBA;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DRL-24V75W1AZ Блок питания 24 VDC, 3.125 A, 75 Вт, вход 1*220В, пластиковый корпус;DRL-24V75W1AZ;DRL-24V75W1AZ;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DRL-24V240W1EN Блок питания;DRL-24V240W1EN;DRL-24V240W1EN;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DRL-12V75W1AZ Блок питания;DRL-12V75W1AZ;DRL-12V75W1AZ;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
VFD32AMS43AFSAA - UCN Частотный преобразователь, 15кВт 3ф 400В, встроенный тормозной ключ;VFD32AMS43AFSAA;;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
CTA4001A - CTA4001A Комбинированный цифровой прибор (R+T, 220VAC, RS-485);CTA4001A;CTA4001A;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DRL-24V120W1EN блок питания;DRL-24V120W1EN;DRL-24V120W1EN;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP04DA-S2 - Модуль расширения с RS485, повышенная помехозащищенность;DVP04DA-S2;DVP04DA-S2;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AS-FECAT - Модуль расширения ПЛК EtherCAT port;AS-FECAT;AS-FECAT;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
ASRTU-EC16AP1TA - Модуль удаленной связи;ASRTU-EC16AP1TA;ASRTU-EC16AP1TA;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
Промышленный контроллер PLC (ПЛК), 16DI/8DO (NPN), RS-485x2, EtherCAT. AS516E-B;AS516E-B;AS516E-B;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
Плата расширения аналоговых входов/выходов для VFD-C/CP/CFP EMC-A22A;EMC-A22A;EMC-A22A;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
AX-308EA0MA1T - Контроллер движением 8 осей по шине EtherCAT;AX-308EA0MA1T;AX-308EA0MA1T;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DVP32ES300R - Промышленный контроллер PLC (ПЛК);DVP32ES300R;DVP32ES300R;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
CMM-PD02 - Адаптер интерфейса Profibus DP для VFD-MS/MH;CMM-PD02;CMM-PD02;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
CMM-EC02 - Адаптер интерфейса EtherCAT для VFD-MS/MH;CMM-EC02;CMM-EC02;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
CMC-PN01 - Адаптер интерфейса ProfiNet для VFD-C;CMC-PN01;CMC-PN01;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
CBM-CL01A - Кабель для плат CMM, 1х230 В 0.2-0.75 кВт, 3х400В 0.4-1.5 кВт;CBM-CL01A;CBM-CL01A;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
Плата расширения для ЦПУ AS300, PROFINET RT Slave, 2хRJ45,AS-FPFN02;AS-FPFN02;AS-FPFN02;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
NC-MOT-15SRTE - Сенсорный дисплей 15’’;NC-MOT-15SRTE;NC-MOT-15SRTE;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
"Панель оператора DOP-107HS465 7"", 15 кнопок, RS485, USB B, кнопка Стоп, штурвал, SD, кабель 5 м";DOP-107HS465;DOP-107HS465;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
"Панель оператора DOP-107HE465 7"", 15 кнопок, Ethernet, USB B, кнопка Стоп, штурвал, SD, кабель 5 м";DOP-107HE465;DOP-107HE465;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
VFD015EL43A - Частотный преобразователь (1.5 kW 380 V);VFD015EL43A;VFD015EL43A;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
VFD007EL43A - Частотный преобразователь (0,75 kW 380 V);VFD007EL43A;VFD007EL43A;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
VFD004EL43A - Частотный преобразователь (0,4kW 380 V);VFD004EL43A;VFD004EL43A;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
VFD1320CP43B-21 - Частотный преобразователь (132 кВт 3ф 400 В);VFD1320CP43B-21;VFD1320CP43B-21;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
VFD450CP43S-21 - Частотный преобразователь (45 кВт 3ф 400 В);VFD450CP43S-21;VFD450CP43S-21;В наличии;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
