name;article;product_code;availability;image
3044076 - Проходные клеммы UT 2,5;3044076;3044076;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
3032350 - Концевой стопор CLIPFIX 35-5 V0;3032350;3032350;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
3022276 - Стопор оконечный Ш=5, 15,50 шт/уп. CLIPFIX 35-5;3022276;3022276;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
Реле времени SBT.PLC-2RSC-24DC/1-1;12100077;12100077;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2977225 - Модуль с несколькими реле UMK- 7 REL/KSR-G24/21-21/SO365;2977225;2977225;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2987299 - Нарезаемые перемычки FBST 24-PLC GY;2987299;2987299;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2980296 - Перемычка PLC-BP (A1-14/A2-13);2980296;2980296;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2980283 - Перемычка PLC-BP A1-14;2980283;2980283;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2972990 - Модуль с несколькими реле UMK-16 RM 24DC/MKDS;2972990;2972990;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2967976 - Нарезаемые перемычки FBST 500-PLC BN;2967976;2967976;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2967691 - Перемычка FBST 14-PLC BK;2967691;2967691;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2967688 - Перемычка FBST 8-PLC GY;2967688;2967688;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2966838 - Нарезаемые перемычки FBST 500-PLC GY;2966838;2966838;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2966825 - Перемычка FBST 6-PLC GY;2966825;2966825;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2966812 - Перемычка FBST 6-PLC BU;2966812;2966812;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2966786 - Нарезаемые перемычки FBST 500-PLC RD;2966786;2966786;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2966692 - Нарезаемые перемычки FBST 500-PLC BU;2966692;2966692;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2966508 - Клеммный модуль питания PLC-ESK GY;2966508;2966508;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2966236 - Перемычка FBST 6-PLC RD;2966236;2966236;В наличии;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
Релейные клеммы DEK-REL- 24/1/SEN/SO123;2964940;2964940;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2964319 - Коммутирующий усилитель DEK-TR/INV;2964319;2964319;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
1192057 - Набор предохранителей FUSE/TE5/315MA/T-10PCS;1192057;1192057;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
1191990 - Проволочная перемычка EM-CPS-BRIDGE-IFS-GY-16;1191990;1191990;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
1158056 - Реле безопасности REL-SR- 24DC/2X1AU/2X2AU/FG;1158056;1158056;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
1157954 - Реле безопасности REL-SR- 24DC/3X1AU/1X2AU/FG;1157954;1157954;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2943767 - Модуль с несколькими реле EMUG 45- 4REL/KSR-G 24/21;2943767;2943767;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2943437 - Коммутирующий усилитель EMG 12-TR/INV;2943437;2943437;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2942399 - Модуль с несколькими реле EMUG 22- 4REL/KSR-G 24/ 1AU;2942399;2942399;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2940993 - Набор предохранителей SI 16A FF (6,3X32MM);2940993;2940993;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2909573 - Модуль расширения EM-2RPT/21AU-R/L-P;2909573;2909573;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
2908777 - Реле безопасности REL-SR- 24DC/2X21/FG;2908777;2908777;Под заказ;https://intelka-shop.ru/proizvoditeli/phoenix-contact/?section=19#
